"analysis_id","tfl_id","analysis_group_id","analysis_group_label","estimand","treatment","contrast","visit","estimate","standard_error","degrees_of_freedom","lower_confidence_limit","upper_confidence_limit","statistic","p_value","covariance_used"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","visit_lsmean","","","2025",11.7616431395083,2.00859325212521,18.37963891047,7.54798449211955,15.9753017868971,5.85566197987761,1.39490298678199e-05,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","visit_lsmean","","","2005",-3.56635917356052,2.72419069176335,40.3469658807087,-9.07067943152984,1.93796108440879,-1.30914446787572,0.197892528679396,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","visit_lsmean","","","2009",2.71895769369588,1.96903975636668,38.0524713076428,-1.26697440160911,6.70488978900087,1.38085464496307,0.175380461328282,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","visit_lsmean","","","2013",4.68011298313817,1.95240111005179,38.1095322428078,0.728056589347245,8.63216937692909,2.39710629083489,0.0215329052487447,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","visit_lsmean","","","2017",1.33365757989558,2.74205551610874,34.5051149556684,-4.23586648835303,6.90318164814418,0.48637147280963,0.629778756228914,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","visit_lsmean","","","2021",-0.739912515080446,3.22253307509213,28.3360879426328,-7.33744682002736,5.85762178986647,-0.229605871480246,0.820047388659687,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","visit_lsmean","","","2025",-0.01993058022923,2.65042128854662,32.7053527009854,-5.41409936250104,5.37423820204258,-0.00751977820105689,0.994045824377287,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","visit_lsmean","","","2005",2.20067315373792,3.49921727634682,20.7111162173022,-5.08253291810656,9.48387922558241,0.628904403454314,0.536287080158442,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","visit_lsmean","","","2009",0.123528136964552,3.50531153196138,22.0000086260968,-7.14604287852147,7.39309915245057,0.0352402734644908,0.972205945949223,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","visit_lsmean","","","2013",2.252192629259,3.30461488591919,18.8125020730102,-4.66911454698275,9.17349980550075,0.681529529766233,0.503840871486047,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","visit_lsmean","","","2017",6.63114929484272,3.25897828125219,18.8091344937661,-0.194658483462016,13.4569570731475,2.0347325825979,0.0562214078072216,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","visit_lsmean","","","2021",9.17781135206839,2.00936099114863,16.1893784202055,4.92220242087988,13.4334202832569,4.5675273843263,0.000307359690540938,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","visit_lsmean","","","2025",11.8376386065639,1.97198456269569,17.2266342834526,7.68128053496492,15.993996678163,6.00290632619454,1.34824722432476e-05,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","visit_lsmean","","","2005",-2.7023638727694,2.26336610884012,40.9239249666225,-7.27358252614945,1.86885478061064,-1.19395791172037,0.239369499976127,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","visit_lsmean","","","2009",1.46856822394445,2.4904295921325,40.3117402222398,-3.56356551870002,6.50070196658893,0.589684698810116,0.558692918643276,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","visit_lsmean","","","2013",0.546193402396003,2.55854637520652,38.9196412691396,-4.6292967790791,5.72168358387111,0.213478015364062,0.832068520880239,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","visit_lsmean","","","2017",1.42963933943293,3.12351669770742,35.6482578542163,-4.90731719212439,7.76659587099026,0.457701839878829,0.649944281589624,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","visit_lsmean","","","2021",2.22068334338576,2.86725336376624,34.3615472588257,-3.60401908859001,8.04538577536152,0.7744984700162,0.443932974686386,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","visit_lsmean","","","2025",3.22834548244155,2.81260211507846,32.2207796140278,-2.49919835841866,8.95588932330176,1.14781449716413,0.259496257840071,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","visit_lsmean","","","2005",0.767224366919649,2.48517329230465,21.0314533086417,-4.40050582710419,5.93495456094349,0.308720671228587,0.760571323241904,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","visit_lsmean","","","2009",1.93876872985819,3.33047167362436,22.0011615865959,-4.96818563453772,8.84572309425411,0.582130376670744,0.566397034974111,"UN"
